,formula,Eform
35431,Ag1Au1Cl6Rb2,-1.27031975312147
82358,Ag1Au1Cr2Se4,-0.35638421718750024
61892,Ag1Au1Cs2I6,-0.8418433342069903
82082,Ag1Au1Cs2S4,-0.6633763291941781
82086,Ag1Au1Cs2Se4,-0.5532593534374999
74571,Ag1Au1Cs2Te2,-0.6868400423611097
82353,Ag1Au1Fe2S4,-0.4033197854441788
82354,Ag1Au1Fe2Se4,-0.13163196343750005
82295,Ag1Au1Ga2S4,-0.5793842866941783
82294,Ag1Au1Ga2Se4,-0.3994965409375002
49749,Ag1Au1Ga2Te4,-0.26548066260416503
62015,Ag1Au1I4,-0.22746321453554477
84257,Ag1Au1I6Rb2,-0.7905452652069904
47910,Ag1Au1K2S2,-0.8197855475877853
74569,Ag1Au1K2Se2,-0.7033210145833332
43927,Ag1Au1K2Te2,-0.677673045694443
28720,Ag1Au1Mg1S3,-0.405823581451124
28729,Ag1Au1Mg1Se3,-0.257465671944445
33989,Ag1Au1Mg1Te3,-0.127833867777777
74570,Ag1Au1Na2Te2,-0.5731896959783261
50824,Ag1Au1Nb2S4,-0.9403948929441794
81301,Ag1Au1Nb2Se4,-0.5897999821875004
81297,Ag1Au1Nb2Te4,-0.2676047151041656
11419,Ag1Au1Ni1Te1,0.227887602291668
29122,Ag1Au1Pb1S3,-0.183843642423345
29277,Ag1Au1Pb1Se3,-0.119748117916667
29269,Ag1Au1Pb1Te3,-0.0401592862499989
11422,Ag1Au1Pd1Te1,0.0205827772916671
11420,Ag1Au1Pt1Te1,0.157756992291667
74567,Ag1Au1Rb2Te2,-0.67272110736111
92862,Ag1Au1S1,-0.17881312050445194
41100,Ag1Au1S2Te2,-0.09711590869889619
33303,Ag1Au1S3Sn1,-0.223480976065212
29006,Ag1Au1S3Sr1,-0.607948483256679
35487,Ag1Au1S4,-0.196548263092238
81295,Ag1Au1S4Ta2,-0.9177403841941789
50735,Ag1Au1S4V2,-0.8346850429441783
82335,Ag1Au1S4Y2,-1.455907517944178
92803,Ag1Au1Se2,-0.09514645437500002
41101,Ag1Au1Se2Te2,-0.07199945819444349
29188,Ag1Au1Se3Sn1,-0.0504552373918668
29014,Ag1Au1Se3Sr1,-0.53649274625
62103,Ag1Au1Se4,-0.07919831208333268
82338,Ag1Au1Se4Y2,-1.1603448284374993
29226,Ag1Au1Sn1Te3,-0.0111597040585316
29020,Ag1Au1Sr1Te3,-0.471682503749998
15073,Ag1Au1Te1,-0.0117840602777767
720,Ag1Au1Te2,0.138302785208335
1099,Ag1Au1Te4,-0.0753249993055534
46708,Ag1Au2Cs1S2,-0.6026218559211186
56562,Ag1Au2S2,0.12146457289465715
27418,Ag1Au2Te1,0.179703144791667
9463,Ag1Au3I8Rb2,-0.64285649013761
92857,Ag1Au3S2,-0.18193462092111842
60631,Ag1Au3S5,-0.06648286750741998
72396,Ag1Au3Se5,0.2876064869444445
72436,Ag1Au3Te5,0.2646877662037055
102498,Ag1Ba1Bi1S3,-0.9424620424233456
102509,Ag1Ba1Bi1Se3,-0.8121267470833337
102521,Ag1Ba1Bi1Te3,-0.6493188970833318
30617,Ag1Ba1Cl1S1,-1.56720796803312
30609,Ag1Ba1Cl1Se1,-1.55069441702978
30613,Ag1Ba1Cl1Te1,-1.52484721786311
52718,Ag1Ba1Cl3,-1.7174535588714737
102499,Ag1Ba1Co1S3,-0.6616107849233455
68029,Ag1Ba1Co1Se3,-0.6724799554166664
67746,Ag1Ba1Co1Te3,-0.5373914879166648
66406,Ag1Ba1Cr1S3,-1.0711641840900121
66295,Ag1Ba1Cr1Se3,-0.88086099625
66656,Ag1Ba1Cr1Te3,-0.6670289812499988
64251,Ag1Ba1Fe1S3,-0.8358896686733459
64202,Ag1Ba1Fe1Se3,-0.6708517220833331
63907,Ag1Ba1Fe1Te3,-0.4909496345833316
99115,Ag1Ba1Ga1S3,-0.8616765107566788
102501,Ag1Ba1Ga1Se3,-0.7044846437499999
102512,Ag1Ba1Ga1Te3,-0.526215847083332
67964,Ag1Ba1In1S3,-1.0671222015900124
68309,Ag1Ba1In1Se3,-0.9118317845833328
67336,Ag1Ba1In1Te3,-0.7171491629166654
102497,Ag1Ba1Ir1S3,-0.757879054923345
102504,Ag1Ba1Ir1Se3,-0.5967546862499997
102518,Ag1Ba1Ir1Te3,-0.48460969958333183
66511,Ag1Ba1Mn1S3,-1.0048778888888623
66323,Ag1Ba1Mn1Se3,-0.83587291604885
66772,Ag1Ba1Mn1Te3,-0.6396113510488485
69578,Ag1Ba1Mo1Na1S4,-1.0361291330506344
69577,Ag1Ba1Na1Nb1S4,-1.2058601893006347
69567,Ag1Ba1Na1Pb1S4,-0.9867669055506347
49709,Ag1Ba1Na1S4Sn1,-1.1444703264070344
71921,Ag1Ba1Na1S4Tc1,-0.9583815249256338
69579,Ag1Ba1Na1S4Ti1,-1.4239717460239172
69575,Ag1Ba1Na1S4W1,-0.9731633130506339
69613,Ag1Ba1Na1Se4Sn1,-0.9605498031503563
71373,Ag1Ba1Na1Sn1Te4,-0.7380877210670214
57462,Ag1Ba1Nb1S3,-1.070606542423345
54296,Ag1Ba1Nb1Se3,-0.8535374687500005
54295,Ag1Ba1Nb1Te3,-0.6122950004166654
67281,Ag1Ba1Ni1S3,-0.7782124299233448
67405,Ag1Ba1Ni1Se3,-0.6585396679166665
67001,Ag1Ba1Ni1Te3,-0.546955586249999
29068,Ag1Ba1Rh1S3,-0.812208623256679
29080,Ag1Ba1Rh1Se3,-0.681141514583334
33096,Ag1Ba1Rh1Te3,-0.586808952916665
29065,Ag1Ba1Ru1S3,-0.722700819090012
29096,Ag1Ba1Ru1Se3,-0.56050037375
29079,Ag1Ba1Ru1Te3,-0.439568146249999
27402,Ag1Ba1S1Sc1Se2,-1.50506517358556
27304,Ag1Ba1S1Sc1Te2,-1.28945109469667
27508,Ag1Ba1S1Se2Y1,-1.64019492275223
27370,Ag1Ba1S1Te2Y1,-1.42806249719667
53985,Ag1Ba1S2,-1.1483369501316787
27303,Ag1Ba1S2Sc1Se1,-1.54327677925445
27368,Ag1Ba1S2Sc1Te1,-1.40879779647667
27372,Ag1Ba1S2Se1Y1,-1.67925020675445
27305,Ag1Ba1S2Te1Y1,-1.55133132231001
79333,Ag1Ba1S3Sb1,-1.0184705686733455
36914,Ag1Ba1S3Sc1,-1.66934333242335
68240,Ag1Ba1S3V1,-1.1346804740900123
18321,Ag1Ba1S3Y1,-1.77529287825668
84469,Ag1Ba1S6Sc3,-1.8976570152572856
102510,Ag1Ba1Sb1Se3,-0.7330953470833332
102522,Ag1Ba1Sb1Te3,-0.5805581787499984
27371,Ag1Ba1Sc1Se1Te2,-1.22822790569444
27369,Ag1Ba1Sc1Se2Te1,-1.29317709347222
29437,Ag1Ba1Sc1Se3,-1.45058116375
37500,Ag1Ba1Sc1Te3,-1.1647827533333317
27315,Ag1Ba1Se1Te2Y1,-1.36203078569444
56992,Ag1Ba1Se2,-1.0222927656249996
24423,Ag1Ba1Se2Te1Y1,-1.43153546597222
67481,Ag1Ba1Se3V1,-0.9289014237500002
29129,Ag1Ba1Se3Y1,-1.55530628291667
58830,Ag1Ba1Se3Zr1,-1.2000699487499997
13492,Ag1Ba1Te1,-0.684086710277777
4180,Ag1Ba1Te2,-0.596614821041665
68291,Ag1Ba1Te3V1,-0.6956871262499984
63467,Ag1Ba1Te3Y1,-1.2662403466666656
58829,Ag1Ba1Te3Zr1,-0.922096862083332
18736,Ag1Ba2Cr1S6,-0.952494817158014
18695,Ag1Ba2Hf1S6,-1.29416669465801
79490,Ag1Ba2In1S4,-1.4232516076316788
18700,Ag1Ba2Ir1S6,-0.830820816158014
18703,Ag1Ba2Mn1S6,-0.855417966537325
32134,Ag1Ba2Mo1S6,-1.01291048415801
18705,Ag1Ba2Nb1S6,-1.17612264015801
84127,Ag1Ba2Os1S6,-0.8991715481580144
18692,Ag1Ba2Pt1S6,-0.842528831158015
18720,Ag1Ba2Re1S6,-0.913893246658014
18690,Ag1Ba2Rh1S6,-0.846939766158015
18696,Ag1Ba2Ru1S6,-0.839851071158014
51218,Ag1Ba2S1,-1.1513760816283392
21399,Ag1Ba2S4,-1.16032669479335
18701,Ag1Ba2S6Sb1,-0.893132679658014
18733,Ag1Ba2S6Ta1,-1.21876637715801
84126,Ag1Ba2S6Tc1,-0.9868758776580144
18702,Ag1Ba2S6Te1,-0.835786987491347
18706,Ag1Ba2S6V1,-1.07288615715801
35450,Ag1Ba2S6W1,-1.06628739965801
18722,Ag1Ba2S6Zr1,-1.27447325515801
51215,Ag1Ba2Se1,-1.0634736243749998
45379,Ag1Ba2Se6Ta1,-0.93936068175
84135,Ag1Ba2Se6Tc1,-0.7806902652499993
51221,Ag1Ba2Te1,-0.9189315552083324
82134,Ag1Ba4In1S6,-1.7010626653400116
51251,Ag1Ba4S3,-1.633317906192509
51243,Ag1Ba4Se3,-1.5196225321874994
51246,Ag1Ba4Te3,-1.331351068437499
82532,Ag1Ba7Ga5Se15,-1.344268267767857
52620,Ag1Be1Cl3,-0.8061840108714737
45685,Ag1Be1Cl6K2,-1.3831182911214739
44853,Ag1Be1Cl6Rb2,-1.3963592671214737
11163,Ag1Be1Co1Te1,0.549009599791668
11161,Ag1Be1Ir1Te1,0.441434132291667
11156,Ag1Be1Rh1Te1,0.276395659791668
14982,Ag1Be1Te1,0.25854241638889
4215,Ag1Be1Te2,0.562599353958335
6602,Ag1Be2Te1,0.764687679791668
32996,Ag1Bi1Br2S1,-0.657690431269006
33108,Ag1Bi1Br2Se1,-0.603038525466334
78424,Ag1Bi1Br6Cs2,-1.3406081916995014
70098,Ag1Bi1Br6Rb2,-1.3041823666995014
97044,Ag1Bi1Ca1S3,-0.9976440007566781
99042,Ag1Bi1Ca1Se3,-0.825459582083333
102104,Ag1Bi1Ca1Te3,-0.6153596454166651
100235,Ag1Bi1Cd1S3,-0.45887494242334564
103933,Ag1Bi1Cd1Se3,-0.34091552374999995
103945,Ag1Bi1Cd1Te3,-0.19990908541666444
61537,Ag1Bi1Cl1S2,-0.5120837962291673
966,Ag1Bi1Cl2S1,-0.81349808155032
33101,Ag1Bi1Cl2Se1,-0.746612110747649
32944,Ag1Bi1Cl2Te1,-0.670054945414315
31595,Ag1Bi1Cl6Cs2,-1.56989699362147
44288,Ag1Bi1Cl6K2,-1.4845057326214737
43191,Ag1Bi1Cl6Rb2,-1.5404855386214737
102697,Ag1Bi1Cr1S3,-0.41661012909001194
102716,Ag1Bi1Cr1Se3,-0.23440874374999984
102719,Ag1Bi1Cr1Te3,-0.07362587541666461
57723,Ag1Bi1Cs2S4,-0.6582200398191782
65056,Ag1Bi1Cs2Se4,-0.5573825421874994
99934,Ag1Bi1Cu1S3,-0.2447328024233446
103516,Ag1Bi1Cu1Se3,-0.13873431208333287
103526,Ag1Bi1Cu1Te3,-0.04788296541666526
9953,Ag1Bi1Cu2Pb1S4,-0.405157089005936
58754,Ag1Bi1Hg1S3,-0.31824467408439006
104143,Ag1Bi1Hg1Se3,-0.18783544291104448
104155,Ag1Bi1Hg1Te3,-0.09759589457770979
55207,Ag1Bi1I1Se2,-0.2614300049856638
33023,Ag1Bi1I2S1,-0.406868747273998
57098,Ag1Bi1I2Se1,-0.36990336047132716
60624,Ag1Bi1I6,0.0637444103662621
57722,Ag1Bi1K2S4,-0.6079735848191783
96880,Ag1Bi1Mg1S3,-0.7404975956177905
96890,Ag1Bi1Mg1Se3,-0.5589173469444445
98850,Ag1Bi1Mg1Te3,-0.3522991552777768
85642,Ag1Bi1Ni1S3,-0.38554701034001226
83927,Ag1Bi1Ni1Se3,-0.2190837320833333
83940,Ag1Bi1Ni1Te3,-0.1010151241666654
104547,Ag1Bi1Pb1S3,-0.46382877075667867
104558,Ag1Bi1Pb1Se3,-0.35717201541666616
104571,Ag1Bi1Pb1Te3,-0.22585778041666474
83898,Ag1Bi1Pd1S3,-0.4226532149233453
83907,Ag1Bi1Pd1Se3,-0.27924026791666695
83923,Ag1Bi1Pd1Te3,-0.1955272212499981
83908,Ag1Bi1Pt1S3,-0.44400029159001164
83937,Ag1Bi1Pt1Se3,-0.286922530416667
84106,Ag1Bi1Pt1Te3,-0.22618079041666483
65051,Ag1Bi1Rb2S4,-0.6230726448191786
57728,Ag1Bi1Rb2Se4,-0.5462918540624999
31012,Ag1Bi1S1Se1,-0.219881540378339
28252,Ag1Bi1S2,-0.377715435131679
58676,Ag1Bi1S3,-0.18724585390801424
104338,Ag1Bi1S3Sn1,-0.4391889285652126
102290,Ag1Bi1S3Sr1,-0.9816596540900117
103714,Ag1Bi1S3Zn1,-0.44406034409001194
60746,Ag1Bi1S6,0.5521137766774822
293,Ag1Bi1Se2,-0.274898923125
104351,Ag1Bi1Se3Sn1,-0.33375470155853354
102301,Ag1Bi1Se3Sr1,-0.8332767637499993
103725,Ag1Bi1Se3Zn1,-0.3110760970833333
104362,Ag1Bi1Sn1Te3,-0.20788599322519907
102313,Ag1Bi1Sr1Te3,-0.6398047554166647
41501,Ag1Bi1Te1,0.029011009722222997
8442,Ag1Bi1Te2,-0.157485644791665
103737,Ag1Bi1Te3Zn1,-0.15790011708333176
34413,Ag1Bi2Br1S3,-0.527522978850844
34193,Ag1Bi2Br1Se3,-0.432875981416548
5924,Ag1Bi2Cl1S3,-0.590536410022741
6029,Ag1Bi2Cl1Se3,-0.488901688302732
34525,Ag1Bi2Cl1Te3,-0.364752952588445
87446,Ag1Bi2Cl3S2,-0.81754211779801
13372,Ag1Bi2Cs1S4,-0.635425006694179
34294,Ag1Bi2I1S3,-0.412789125281198
33955,Ag1Bi2I1Se3,-0.332350713561188
54630,Ag1Bi2K1S4,-0.6605435266941786
59136,Ag1Bi2S4,-0.37868683765048977
27252,Ag1Bi2Te1,0.181550334791668
56092,Ag1Bi2Te4,-0.1447803701190458
9029,Ag1Bi3Br2S4,-0.58940426333851
36973,Ag1Bi3Cl2S4,-0.6622382139791675
13379,Ag1Bi3Cs2S6,-0.624031457215012
13378,Ag1Bi3Cs2Se6,-0.517528521875
88156,Ag1Bi3S5,-0.473128078618531
28174,Ag1Bi3Se5,-0.3390310575
88329,Ag1Bi3Te5,-0.1890708321296278
56396,Ag1Bi4Te7,-0.1794711284027759
89662,Ag1Bi5S8,-0.4897338481862035
89663,Ag1Bi5Se8,-0.3486667151785713
89776,Ag1Bi5Te8,-0.18961995422618827
88969,Ag1Bi6S9,-0.4605340008512635
89115,Ag1Bi6Se9,-0.3303462060937501
89294,Ag1Bi6Te9,-0.1776056835937485
85751,Ag1Bi8S11,-0.41322777858234616
71014,Ag1Br1,-0.532604051207918
